ix,race_id,driver_id,lap,position,time,milliseconds
400535,964,817,10,7,1:42.069,102069
400536,964,817,11,13,1:57.918,117918
400537,964,817,12,11,1:40.157,100157
400538,964,817,13,8,1:38.933,98933
400539,964,817,14,7,1:38.866,98866
400540,964,817,15,6,1:39.348,99348
400541,964,817,16,6,1:38.861,98861
400542,964,817,17,5,1:37.655,97655
400543,964,817,18,5,1:37.650,97650
400544,964,817,19,5,1:37.629,97629
400545,964,817,20,5,1:37.413,97413
400546,964,817,21,5,1:37.845,97845
400547,964,817,22,5,1:37.633,97633
400548,964,817,23,5,1:37.627,97627
400549,964,817,24,5,1:37.831,97831
400550,964,817,25,5,1:37.845,97845
400551,964,817,26,5,1:38.045,98045
400552,964,817,27,5,1:38.116,98116
400553,964,817,28,5,1:38.604,98604
400554,964,817,29,5,1:38.822,98822
400555,964,817,30,5,1:38.764,98764
400556,964,817,31,5,1:39.132,99132
400557,964,817,32,5,1:41.509,101509
400558,964,817,33,6,1:58.701,118701
400559,964,817,34,6,1:35.596,95596
400560,964,817,35,6,1:35.927,95927
400561,964,817,36,6,1:35.511,95511
400562,964,817,37,6,1:35.760,95760
400563,964,817,38,6,1:35.836,95836
400564,964,817,39,6,1:35.682,95682
400565,964,817,40,6,1:35.719,95719
400566,964,817,41,6,1:36.390,96390
400567,964,817,42,6,1:36.137,96137
400568,964,817,43,6,1:36.414,96414
400569,964,817,44,6,1:37.146,97146
400570,964,817,45,6,1:37.498,97498
400571,964,817,46,6,1:36.654,96654
400572,964,817,47,6,1:36.896,96896
400573,964,817,48,6,1:36.958,96958
400574,964,817,49,6,1:37.177,97177
400575,964,817,50,6,1:38.320,98320
400576,964,817,51,6,1:38.095,98095
400577,964,817,52,6,1:38.757,98757
400578,964,817,53,6,1:38.767,98767
400579,964,807,1,6,1:42.508,102508
400580,964,807,2,6,1:39.019,99019
400581,964,807,3,6,1:39.073,99073
400582,964,807,4,6,1:39.290,99290
400583,964,807,5,6,1:39.395,99395
400584,964,807,6,7,1:41.009,101009
400585,964,807,7,8,1:40.808,100808
400586,964,807,8,8,1:39.732,99732
400587,964,807,9,8,1:39.787,99787
400588,964,807,10,8,1:39.937,99937
400589,964,807,11,7,1:42.420,102420
400590,964,807,12,14,1:56.640,116640
400591,964,807,13,12,1:38.584,98584
